SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200203|B38564108|EURN|3035|EURONAV NV ANTWERPEN (BELGIUM)|9.88
20200203|D18190898|DB|113809|DEUTSCHE BANK AG NAMEN AKT (DE|9.15
20200203|G0084W101|ADNT|124|ADIENT PLC ORD SHS (IRL)|25.71
20200203|G01125106|AFYA|2662|AFYA LTD CL A COM|29.86
20200203|G0129K104|AYR|300|AIRCASTLE LIMITED COM|32.09
20200203|G0132V105|AGMH|43|AGM GROUP HLDGS INC USD CL A O|15.58
20200203|G0250X107|AMCR|868|AMCOR PLC ORD USD0.01 (JEY)|10.59
20200203|G0335L201|RYCE|4303|AMIRA NATURE FOODS LTD SHS NEW|7.00
20200203|G037AX101|AMBA|17120|AMBARELLA, INC ORD SHS|59.14
20200203|G04415132|ANDAR|100|ANDINA ACQUISITION CORP III RT|0.27
20200203|G0450A105|ACGL|209|ARCH CAPITAL GROUP LTD|44.16
20200203|G04553106|ARCE|184|ARCO PLATFORM LTD CL A COM (CY|51.88
20200203|G0457F107|ARCO|486|ARCOS DORADOS HOLDINGDS INC. C|7.67
20200203|G05384154|AHLPRC|7322|ASPEN INSURANCE HLDGS LTD FXD/|28.39
20200203|G05384204|AHLPRE|360|ASPEN INSURANCE HOLD LIM DEP S|26.34
20200203|G0602B100|ATIF|11460|ATIF HLDGS LTD USD ORD SHS|1.86
20200203|G0684D107|ATH|246|ATHENE HLDG LTD CL A (BMU)|43.56
20200203|G06974102|AUIAF|1904|AURANIA RES LTD SHS (BERMUDA) |2.41
20200203|G0750W203|AXGT|9694|AXOVANT GENE THERAPIES LTD COM|3.84
20200203|G0751N103|AY|3010|ATLANTICA YIELD PLC SHS (GBR) |28.73
20200203|G10830100|BYSI|390|BEYONDSPRING INC ORD SHS (CYM)|15.14
20200203|G1117K106|BIOXWS|15|BIOCERES CROP SOLUTIONS CORP. |0.18
20200203|G11196105|BHVN|276|BIOHAVEN PHARMACEUTICAL HLDG C|48.49
20200203|G1466R207|BORR|1843|BORR DRILLING LTD SHS (BERMUDA|5.29
20200203|G1611B115|BROGW|750|BROOGE HLDGS LTD WT EXP 12/20/|0.90
20200203|G16249107|BPY|38614|BROOKFIELD PPTY PARTNERS L P U|18.53
20200203|G16252101|BIP|5557|BROOKFIELD INFRASTRUCTURE PART|54.40
20200203|G16258108|BEP|2843|BROOKFIELD RENEWABLE PARTNERS |48.74
20200203|G1757E113|CMCL|5735|CALEDONIA MNG CORP PLC SHS NEW|10.47
20200203|G1899E146|CUPUF|37|CARIBBEAN UTILITIES LTD CL-A|16.04
20200203|G1992S109|CISN|19|CISION LTD|9.99
20200203|G21125102|CNWHF|547|CHINA NETWORKS INTL HLDGS LTD |0.50
20200203|G2118P102|CCRC|1|CHINA CUSTOMER RELATIONS CTRS |9.32
20200203|G2143T103|CMPR|573|CIMPRESS PLC SHS EURO (IRL)|119.63
20200203|G23773107|CWCO|3|CONSOLIDATED WATER CO., INC.|17.11
20200203|G25839104|CCEP|299|COCA-COLA EUROPEAN PARTNERS PL|52.61
20200203|G2709G107|DLPH|717|DELPHI TECHNOLOGIES PLC|15.34
20200203|G27358103|DESP|25066|DESPEGAR.COM CORP ORD SH (VGB)|14.81
20200203|G2956M112|JFKKW|22|8I ENTERPRISES ACQUISITION COR|0.63
20200203|G31249108|ESTA|4350|ESTABLISHMENT LABS HLDGS INC C|27.28
20200203|G3165V109|ARYA|978|ARYA SCIENCES ACQUISITION CORP|10.70
20200203|G3206V100|ESTR|1824|ESTRE AMBIENTAL IN SHS (CYM)|0.25
20200203|G33277107|FAMI|131|FARMMI INC ORDINARY SHARES (CY|0.73
20200203|G3362K120|FLLCW|3100|FELLAZO INC. USD RED WTS TO PU|0.05
20200203|G3362K146|FLLCR|3100|FELLAZO INC. USD RTS CONSIST 1|0.19
20200203|G33856108|GSM|401|FERROGLOBE PLC ORD SHS (GBR)|0.85
20200203|G3402M102|FG|12518|FGL HLDGS ORD SHS (CYM)|9.65
20200203|G35947202|FLNG|3732|FLEX LNG LTD SHS NEW|8.36
20200203|G3682E192|FRO|217875|FRONTLINE LTD (BMU)|8.76
20200203|G37585109|GLOG|41|GASLOG LTD COMMON SHS (BERMUDA|6.48
20200203|G3788M114|EROS|95269|EROS INTL PLC ORD SHS (IMN)|2.41
20200203|G38327105|GPRK|1058|GEOPARK LTD. USD SHARES (BMU) |18.50
20200203|G39342103|CO|154|GLOBAL CORD BLOOD CORP SHS (CY|4.65
20200203|G4289N114|HAPP|1018|HAPPINESS BIOTECH GROUP LTD US|4.20
